id,prompt,model_x,model_y,winner,left,right
0,8,97,98,left,Airoboros L2 70B,Weaver 12k
1,8,29,98,right,Alpaca (7B),Weaver 12k
2,8,98,5,left,Weaver 12k,Chronos Hermes (13B)
3,8,83,98,left,Claude Instant v1,Weaver 12k
4,8,101,98,left,Claude v1,Weaver 12k
5,8,100,98,left,Claude v1.2,Weaver 12k
6,8,84,98,left,Claude v2,Weaver 12k
7,8,19,98,right,Code Llama Instruct (13B),Weaver 12k
8,8,20,98,right,Code Llama Instruct (34B),Weaver 12k
9,8,98,18,left,Weaver 12k,Code Llama Instruct (7B)
10,8,98,9,left,Weaver 12k,Dolly v2 (12B)
11,8,7,98,right,Dolly v2 (3B),Weaver 12k
12,8,98,8,right,Weaver 12k,Dolly v2 (7B)
13,8,98,30,left,Weaver 12k,Falcon Instruct (7B)
14,8,81,98,left,GPT 3.5 Turbo,Weaver 12k
15,8,98,82,right,Weaver 12k,GPT 3.5 Turbo (16k)
16,8,80,98,left,GPT 4,Weaver 12k
17,8,98,4,left,Weaver 12k,GPT-NeoXT-Chat-Base (20B)
18,8,98,32,right,Weaver 12k,Guanaco (13B)
19,8,33,98,right,Guanaco (33B),Weaver 12k
20,8,34,98,right,Guanaco (65B),Weaver 12k
21,8,98,86,left,Weaver 12k,Jurassic 2 Mid
22,8,87,98,right,Jurassic 2 Ultra,Weaver 12k
23,8,23,98,right,Koala (13B),Weaver 12k
24,8,22,98,right,LLaMA 2 SFT v10 (70B),Weaver 12k
25,8,98,16,right,Weaver 12k,LLaMA-2-Chat (13B)
26,8,17,98,left,LLaMA-2-Chat (70B),Weaver 12k
27,8,15,98,right,LLaMA-2-Chat (7B),Weaver 12k
28,8,91,98,right,Luminous Base,Weaver 12k
29,8,98,93,left,Weaver 12k,Luminous Base Control
30,8,98,90,left,Weaver 12k,Luminous Extended
31,8,98,92,left,Weaver 12k,Luminous Extended Control
32,8,88,98,right,Luminous Supreme,Weaver 12k
33,8,98,89,left,Weaver 12k,Luminous Supreme Control
34,8,28,98,left,MPT-Chat (30B),Weaver 12k
35,8,27,98,right,MPT-Chat (7B),Weaver 12k
36,8,98,96,right,Weaver 12k,Mythalion 13B
37,8,11,98,right,MythoMax-L2 (13B),Weaver 12k
38,8,98,14,left,Weaver 12k,Open-Assistant Pythia SFT-4 (12B)
39,8,98,13,right,Weaver 12k,Open-Assistant StableLM SFT-7 (7B)
40,8,98,94,left,Weaver 12k,PaLM 2 Bison
41,8,98,95,right,Weaver 12k,PaLM 2 Bison (Code Chat)
42,8,98,10,right,Weaver 12k,Platypus-2 Instruct (70B)
43,8,2,98,right,Pythia-Chat-Base (7B),Weaver 12k
44,8,98,6,left,Weaver 12k,Qwen-Chat (7B)
45,8,98,99,right,Weaver 12k,ReMM SLERP L2 13B
46,8,1,98,right,RedPajama-INCITE Chat (3B),Weaver 12k
47,8,3,98,right,RedPajama-INCITE Chat (7B),Weaver 12k
48,8,98,12,left,Weaver 12k,StarCoderChat Alpha (16B)
49,8,25,98,right,Vicuna v1.3 (13B),Weaver 12k
50,8,24,98,left,Vicuna v1.3 (7B),Weaver 12k
51,8,98,26,right,Weaver 12k,Vicuna v1.5 (13B)
52,8,21,98,right,Vicuna-FastChat-T5 (3B),Weaver 12k
53,8,85,97,right,Jurassic 2 Light,Airoboros L2 70B
54,8,29,85,right,Alpaca (7B),Jurassic 2 Light
55,8,5,85,left,Chronos Hermes (13B),Jurassic 2 Light
56,8,85,83,right,Jurassic 2 Light,Claude Instant v1
57,8,101,85,left,Claude v1,Jurassic 2 Light
58,8,100,85,left,Claude v1.2,Jurassic 2 Light
59,8,85,84,right,Jurassic 2 Light,Claude v2
60,8,19,85,left,Code Llama Instruct (13B),Jurassic 2 Light
61,8,85,20,right,Jurassic 2 Light,Code Llama Instruct (34B)
62,8,85,18,tie,Jurassic 2 Light,Code Llama Instruct (7B)
63,8,85,9,right,Jurassic 2 Light,Dolly v2 (12B)
64,8,85,7,tie,Jurassic 2 Light,Dolly v2 (3B)
65,8,8,85,right,Dolly v2 (7B),Jurassic 2 Light
66,8,30,85,right,Falcon Instruct (7B),Jurassic 2 Light
67,8,85,81,right,Jurassic 2 Light,GPT 3.5 Turbo
68,8,85,82,right,Jurassic 2 Light,GPT 3.5 Turbo (16k)
69,8,85,80,right,Jurassic 2 Light,GPT 4
70,8,85,4,tie,Jurassic 2 Light,GPT-NeoXT-Chat-Base (20B)
71,8,85,32,right,Jurassic 2 Light,Guanaco (13B)
72,8,85,33,right,Jurassic 2 Light,Guanaco (33B)
73,8,34,85,left,Guanaco (65B),Jurassic 2 Light
74,8,97,31,left,Airoboros L2 70B,Falcon Instruct (40B)
75,8,31,29,right,Falcon Instruct (40B),Alpaca (7B)
76,8,31,5,left,Falcon Instruct (40B),Chronos Hermes (13B)
77,8,83,31,left,Claude Instant v1,Falcon Instruct (40B)
78,8,101,31,left,Claude v1,Falcon Instruct (40B)
79,8,100,31,left,Claude v1.2,Falcon Instruct (40B)
80,8,84,31,left,Claude v2,Falcon Instruct (40B)
81,8,19,31,right,Code Llama Instruct (13B),Falcon Instruct (40B)
82,8,31,20,right,Falcon Instruct (40B),Code Llama Instruct (34B)
83,8,9,31,right,Dolly v2 (12B),Falcon Instruct (40B)
84,8,31,8,left,Falcon Instruct (40B),Dolly v2 (7B)
85,8,19,18,tie,Code Llama Instruct (13B),Code Llama Instruct (7B)
86,8,19,7,left,Code Llama Instruct (13B),Dolly v2 (3B)
87,8,90,19,right,Luminous Extended,Code Llama Instruct (13B)
88,8,90,8,right,Luminous Extended,Dolly v2 (7B)
89,8,88,19,left,Luminous Supreme,Code Llama Instruct (13B)
90,8,85,88,tie,Jurassic 2 Light,Luminous Supreme
91,8,3,19,right,RedPajama-INCITE Chat (7B),Code Llama Instruct (13B)
92,8,3,85,tie,RedPajama-INCITE Chat (7B),Jurassic 2 Light
93,8,19,12,tie,Code Llama Instruct (13B),StarCoderChat Alpha (16B)
94,8,12,85,right,StarCoderChat Alpha (16B),Jurassic 2 Light
95,8,19,76,right,Code Llama Instruct (13B),command-light
96,8,85,76,tie,Jurassic 2 Light,command-light
97,8,76,98,right,command-light,Weaver 12k
98,8,23,31,right,Koala (13B),Falcon Instruct (40B)
99,8,23,85,left,Koala (13B),Jurassic 2 Light
100,8,30,31,right,Falcon Instruct (7B),Falcon Instruct (40B)
101,8,81,31,left,GPT 3.5 Turbo,Falcon Instruct (40B)
102,8,82,31,left,GPT 3.5 Turbo (16k),Falcon Instruct (40B)
103,8,80,31,left,GPT 4,Falcon Instruct (40B)
104,8,4,31,right,GPT-NeoXT-Chat-Base (20B),Falcon Instruct (40B)
105,8,32,31,right,Guanaco (13B),Falcon Instruct (40B)
106,8,33,31,right,Guanaco (33B),Falcon Instruct (40B)
107,8,31,34,right,Falcon Instruct (40B),Guanaco (65B)
108,8,86,31,right,Jurassic 2 Mid,Falcon Instruct (40B)
109,8,85,86,right,Jurassic 2 Light,Jurassic 2 Mid
110,8,87,31,right,Jurassic 2 Ultra,Falcon Instruct (40B)
111,8,87,85,left,Jurassic 2 Ultra,Jurassic 2 Light
112,8,22,31,right,LLaMA 2 SFT v10 (70B),Falcon Instruct (40B)
113,8,22,85,left,LLaMA 2 SFT v10 (70B),Jurassic 2 Light
114,8,16,31,right,LLaMA-2-Chat (13B),Falcon Instruct (40B)
115,8,16,85,left,LLaMA-2-Chat (13B),Jurassic 2 Light
116,8,31,17,right,Falcon Instruct (40B),LLaMA-2-Chat (70B)
117,8,17,85,left,LLaMA-2-Chat (70B),Jurassic 2 Light
118,8,15,31,right,LLaMA-2-Chat (7B),Falcon Instruct (40B)
119,8,15,85,right,LLaMA-2-Chat (7B),Jurassic 2 Light
120,8,31,91,left,Falcon Instruct (40B),Luminous Base
121,8,91,85,right,Luminous Base,Jurassic 2 Light
122,8,31,93,left,Falcon Instruct (40B),Luminous Base Control
123,8,93,85,right,Luminous Base Control,Jurassic 2 Light
124,8,92,31,right,Luminous Extended Control,Falcon Instruct (40B)
125,8,92,85,right,Luminous Extended Control,Jurassic 2 Light
126,8,31,89,left,Falcon Instruct (40B),Luminous Supreme Control
127,8,85,89,right,Jurassic 2 Light,Luminous Supreme Control
128,8,31,28,right,Falcon Instruct (40B),MPT-Chat (30B)
129,8,28,85,left,MPT-Chat (30B),Jurassic 2 Light
130,8,27,31,right,MPT-Chat (7B),Falcon Instruct (40B)
131,8,85,27,right,Jurassic 2 Light,MPT-Chat (7B)
132,8,96,31,left,Mythalion 13B,Falcon Instruct (40B)
133,8,96,85,left,Mythalion 13B,Jurassic 2 Light
134,8,31,11,right,Falcon Instruct (40B),MythoMax-L2 (13B)
135,8,11,85,left,MythoMax-L2 (13B),Jurassic 2 Light
136,8,31,14,left,Falcon Instruct (40B),Open-Assistant Pythia SFT-4 (12B)
137,8,85,14,right,Jurassic 2 Light,Open-Assistant Pythia SFT-4 (12B)
138,8,31,13,right,Falcon Instruct (40B),Open-Assistant StableLM SFT-7 (7B)
139,8,13,85,right,Open-Assistant StableLM SFT-7 (7B),Jurassic 2 Light
140,8,94,31,right,PaLM 2 Bison,Falcon Instruct (40B)
141,8,94,85,left,PaLM 2 Bison,Jurassic 2 Light
142,8,95,31,right,PaLM 2 Bison (Code Chat),Falcon Instruct (40B)
143,8,95,85,right,PaLM 2 Bison (Code Chat),Jurassic 2 Light
144,8,31,10,right,Falcon Instruct (40B),Platypus-2 Instruct (70B)
145,8,85,10,right,Jurassic 2 Light,Platypus-2 Instruct (70B)
146,8,2,31,right,Pythia-Chat-Base (7B),Falcon Instruct (40B)
147,8,85,2,right,Jurassic 2 Light,Pythia-Chat-Base (7B)
148,8,6,31,right,Qwen-Chat (7B),Falcon Instruct (40B)
149,8,6,85,left,Qwen-Chat (7B),Jurassic 2 Light
150,8,31,99,right,Falcon Instruct (40B),ReMM SLERP L2 13B
151,8,85,99,right,Jurassic 2 Light,ReMM SLERP L2 13B
152,8,31,1,left,Falcon Instruct (40B),RedPajama-INCITE Chat (3B)
153,8,85,1,right,Jurassic 2 Light,RedPajama-INCITE Chat (3B)
154,8,31,25,right,Falcon Instruct (40B),Vicuna v1.3 (13B)
155,8,85,25,right,Jurassic 2 Light,Vicuna v1.3 (13B)
156,8,24,31,left,Vicuna v1.3 (7B),Falcon Instruct (40B)
157,8,24,85,left,Vicuna v1.3 (7B),Jurassic 2 Light
158,8,31,26,right,Falcon Instruct (40B),Vicuna v1.5 (13B)
159,8,26,85,left,Vicuna v1.5 (13B),Jurassic 2 Light
